Constellation,Launch Event,Launcher Production,Electronics Production,Launcher Transportation,Electricity Consumption,Propulsion System
Astra,589,9,1,247,4,6
BlueWalker,592,9,1,248,4,33
Cinnamon-937,295,4,0,123,2,0
Flock,31,0,0,13,0,0
Globalstar,1179,18,2,493,8,16
Guowang,16,24,2,4,11,4
Hanwha,44,65,6,11,29,6
Honghu-3,174,260,23,43,116,1
HVNET,337,4,0,140,2,6
KLEO,174,260,23,43,116,2
Kuiper,28,31,3,20,14,15
Lacuna,270,349,31,6,155,0
Lightspeed,67,1,0,28,0,17
Lynk,118,2,0,49,1,1
Omni,118,2,0,49,1,0
OneWeb,74,1,0,31,0,3
Rassvet,180,233,20,4,104,6
Semaphore-C,295,4,0,123,2,0
SferaCon,180,234,21,4,104,4
Starlink (Gen2),185,1,0,0,0,6
Swarm,102,2,0,43,1,11
Xingshidai,44,65,6,11,29,1
Xingwang,116,174,15,29,77,6
Yinhe,58,87,8,14,39,5
